"V1" "V1" "V1" "V1" "V1"
"200" "YBX3" "OGFRL1" "OSBPL3" "SLC25A25" "HIST1H2BD"
"201" "WNK1" "CCDC77" "MGAT4A" "CACNA1B" "ZFAND2B"
"202" "OGFR" "RNF2" "RPL31" "TENM4" "DEDD2"
"203" "PIGV" "B4GALT4" "RPS6KA2" "PRSS23" "TONSL"
"204" "BCAT1" "PEX16" "WBSCR22" "DIXDC1" "C5orf45"
"205" "HDAC7" "BBS9" "TCF3" "ITPR1" "PSMC2"
"206" "SFSWAP" "FTSJ2" "FAM50A" "SLC2A13" "PDPN"
"207" "GPBP1" "KIAA1549" "CPSF1" "FRMD4A" "RBBP4"
"208" "CS" "TRIM24" "RDH11" "GLT1D1" "CCDC104"
"209" "ELMO2" "PKN1" "EPN2" "RNF219" "ACTG2"
"210" "WAPAL" "WDR83" "ALDH3A2" "CMTM7" "GLB1L"
"211" "APPBP2" "SPATS2" "CHFR" "DDAH1" "TIPARP"
"212" "GLTSCR1" "PDE1B" "P4HA2" "THY1" "MTMR14"
"213" "U2AF2" "C12orf44" "TRNT1" "TNIK" "MTHFD2L"
"214" "MED29" "OBSL1" "FBXW11" "CHODL" "SFMBT1"
"215" "ZNF275" "SNX21" "ACAP1" "ADAMTS1" "AIMP1"
"216" "RNF4" "EEF1E1" "PVR" "SLC7A7" "BDH2"
"217" "ASUN" "RAB17" "IKBKG" "GRIP1" "MAD2L1"
"218" "ST3GAL6" "ABCC4" "NLE1" "GNAQ" "ANXA5"
"219" "NGFR" "ATP5S" "PPP2R3A" "NPTN" "PRMT10"
"220" "CDON" "PPDPF" "IGF2BP2" "VPS8" "ELOVL7"
"221" "TAF2" "CHCHD5" "SLC24A1" "LRP8" "PRRC1"
"222" "TNPO3" "GRIA3" "PTPLAD1" "GAREML" "SERINC5"
"223" "PMS1" "RBCK1" "C19orf10" "RADIL" "STXBP5"
"224" "HMG20B" "RRBP1" "TTC38" "SLC45A3" "VCP"
"225" "TAF11" "DNAJC8" "TIMM21" "CBR1" "INPPL1"
"226" "NTHL1" "HSPA2" "FRYL" "ACTC1" "TMEM63C"
"227" "UHRF1BP1" "SYNGR3" "BCAP29" "BTG2" "SMCO4"
"228" "GNAI3" "TUBGCP6" "SEC31B" "FAM131B" "ZFYVE19"
"229" "IPO5" "A4GALT" "EXOSC7" "NLRX1" "ALKBH3"
"230" "OAT" "DOCK4" "MLH1" "SLC25A44" "C10orf32"
"231" "WDR18" "CCDC136" "SPAG5" "LY6E" "SMPD1"
"232" "MCM10" "PSMA1" "TPD52" "ASRGL1" "CYB5R2"
"233" "DGKA" "PHF20L1" "TRAF4" "RPS6KA4" "RIC3"
"234" "ERBB3" "PARP2" "XAB2" "AGL" "IDH3A"
"235" "ADAT1" "DAD1" "TM9SF3" "GNPDA2" "ZCCHC18"
"236" "NDUFB4" "" "UBE2T" "FSTL1" "MAP1A"
"237" "MYLK" "GAMT" "DNAJC10" "EOMES" "CERCAM"
"238" "CYB5R4" "TRPM4" "USP33" "PCOLCE2" "ENGASE"
"239" "FAM107B" "MAP3K10" "DYNC1I2" "DTX3L" "CDC40"
"240" "TBC1D1" "SLC35D2" "SLC25A43" "SHISA5" "ADAL"
"241" "CDK13" "MGAT1" "UBE2A" "HMGB2" "LCMT2"
"242" "YBX1" "VIMP" "GTF2I" "GPR98" "LRRC28"
"243" "PPP2R5A" "LLGL1" "FBLN1" "STARD4" "TMEM129"
"244" "DIP2B" "GPS2" "PIK3C3" "CREBRF" "MFF"
"245" "NFYC" "BTBD3" "C12orf5" "KIAA0895" "HINT1"
"246" "ZBTB11" "MTL5" "SYNJ2" "GALNT10" "HEXDC"
"247" "ATXN3" "INADL" "ADCY2" "ATP7A" "ZNF764"
"248" "GOLGA5" "CNDP2" "NRD1" "BTRC" "CHRNB1"
"249" "LRRC40" "LRRCC1" "VDAC3" "POLL" "CMTM8"
"250" "THUMPD1" "HSD17B4" "PCM1" "PRTG" "GPRC5C"
"251" "MSANTD3" "NUMB" "SDF4" "C16orf46" "PA2G4"
"252" "ATG2B" "EIF2S1" "UBE2D4" "PLEKHA7" "SMAGP"
"253" "ARFGEF1" "CDK7" "FKBP7" "GREM1" "TMEM43"
"254" "ZFAT" "ARL8B" "LXN" "ART5" "PAQR8"
"255" "KLF6" "PSRC1" "MKNK1" "CD320" "ZNF160"
"256" "NEO1" "SORT1" "CDC14A" "CDK2AP2" "FEZ2"
"257" "EVI5" "DDB2" "DDX1" "TRANK1" "CXXC5"
"258" "STOML1" "GNL2" "DNM2" "PXK" "PLEKHG5"
"259" "DNTTIP2" "HOOK1" "PCNP" "ARF4" "BCL2"
"260" "SYT1" "ERCC5" "LRP2" "TSPAN5" "FRMD5"
"261" "HDAC4" "KDELC1" "AACS" "FASN" "MTBP"
"262" "MEF2A" "TMEM2" "KIAA0141" "CHD3" "ALG14"
"263" "ACSL4" "DNAJC14" "HSPB11" "SIK2" "AFF1"
"264" "GPKOW" "PPP1R1A" "STRADB" "KCNS3" "DMXL1"
"265" "ATP11A" "KCNK1" "BZW1" "MTSS1" "METAP1D"
"266" "POLR1A" "COG2" "ME2" "PDGFD" "CCDC106"
"267" "LAPTM4A" "EIF4E2" "C5orf22" "GAA" "PSMD1"
"268" "IP6K2" "PLXNC1" "CCNT2" "PRNP" "TOMM20"
"269" "KIF2A" "APPL2" "GEMIN5" "EIF2AK3" "MARCH3"
"270" "RASGRP2" "LRCH1" "RNF13" "FIBP" "PIGG"
"271" "PSME4" "RAC1" "LYRM2" "NABP1" "IQCK"
"272" "IFT80" "TTC5" "PLOD1" "PC" "CD248"
"273" "ERLEC1" "SRSF1" "ITGAE" "LRFN4" "DOLK"
"274" "PPP2R5B" "DNAJC1" "TDRD3" "GPR64" "DALRD3"
"275" "NUCKS1" "ODF2" "PDS5B" "CHST2" "TMEM11"
"276" "BCL3" "FAM129B" "OXCT1" "ZNF654" "SLC25A20"
"277" "FUNDC1" "TEX10" "SLC27A5" "EIF1AD" "PCBP1-AS1"
"278" "RORA" "CTSV" "ZNF446" "LRRN1" "TRNAU1AP"
"279" "TGFBR3" "RNF38" "" "TUBB6" "PCGF5"
"280" "NEDD4" "KLC4" "RPS5" "KLHDC7A" "TMEM102"
"281" "CECR5" "UQCC2" "SMAP2" "PCED1B" "FANCB"
"282" "PFN2" "RAB30" "NOA1" "FAM89A" "YIPF6"
"283" "SPTB" "NARS2" "GSTP1" "CLN8" "AFMID"
"284" "SLC44A1" "HADHB" "KIAA1467" "SPATA13" "DDX41"
"285" "SMG6" "EMILIN1" "WBP11" "CADM1" "FHL3"
"286" "CLTCL1" "DTNB" "EIF3I" "RBM12B" "ZNRF3"
"287" "MNT" "SSB" "NKAIN1" "KCNH8" "PLA2G6"
"288" "GBA2" "ABI2" "COL16A1" "PRKD1" "WDR27"
"289" "NDST1" "HERC3" "HADHA" "EFNA5" "FAM43A"
"290" "ASNS" "BBS7" "TAF9" "CSF1" "SIGIRR"
